FestivalName,Date,tag,tag_count
Raksha Bandhan,11-08-22,11-08-22,1
Independence Day,15-08-22,15-08-22,1
janmashtami,19-08-22,19-08-22,1
Ganesh chaturthi,31-08-22,31-08-22,1
onam,08-09-22,08-09-22,1
Gandhi jayanthi,02-10-22,02-10-22,1
maha ashtami,03-10-22,03-10-22,1
maha navami,04-10-22,04-10-22,1
Dussehra,05-10-22,05-10-22,1
milad un-nabi,09-10-22,09-10-22,1
karaka chaturthi,13-10-22,13-10-22,1
Diwali,24-10-22,24-10-22,1
guru nayak jayanthi,08-11-22,08-11-22,1
children's day,14-11-22,14-11-22,1
christmas,25-12-22,25-12-22,1
